Spain,1460
Germany,1340
Portugal,1245
Brazil,1210
Colombia,1186
Uruguay,1181
Argentina,1178
Switzerland,1161
Italy,1115
Greece,1082
England,1043
Belgium,1039
Chile,1037
USA,1015
Netherlands,967
France,935
Russia,903
Mexico,877
Croatia,871
Côte d'Ivoire,830
Bosnia-Herzegovina,795
Algeria,795
Ecuador,794
Honduras,759
Costa Rica,748
Iran,715
Ghana,713
Australia,673
Nigeria,631
Japan,613
Cameroon,583
Korea Republic,551
